time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
16663,0.00,1061.70,11,22.66,-0.56,0.20,-9.05,
17663,31.24,1061.24,9,22.70,-1.21,-1.03,-8.77,3:45:14,34.219322N,-112.948708W,1116.00,0.35,15
18664,30.81,1060.96,13,22.71,-1.78,-1.09,-6.64,3:45:25,34.219269N,-112.948662W,1116.00,0.99,15
19665,30.51,1060.68,13,22.71,3.10,-2.14,-8.81,3:45:26,34.219261N,-112.948647W,1116.40,2.73,15
20666,30.30,1060.59,11,22.72,-0.69,-2.64,-8.63,3:45:27,34.219250N,-112.948631W,1116.30,2.73,15
21667,30.12,1060.50,3,22.70,0.61,-1.48,-8.75,3:45:28,34.219246N,-112.948624W,1116.30,3.22,15
22668,29.98,1060.50,13,22.72,0.55,-0.96,-10.35,3:45:29,34.219234N,-112.948624W,1116.30,1.90,15
23669,29.86,1060.59,5,22.70,0.11,1.23,-9.34,3:45:30,34.219231N,-112.948624W,1116.40,1.28,15
24670,29.75,1060.41,11,22.71,1.42,-2.79,-7.94,3:45:31,34.219231N,-112.948608W,1116.50,1.07,15
25671,29.65,1060.41,5,22.71,0.17,-0.11,-8.98,3:45:32,34.219231N,-112.948608W,1116.50,0.53,15
26672,29.58,1060.59,13,22.73,1.56,-1.90,-9.54,3:45:33,34.219231N,-112.948608W,1116.50,0.67,15
27673,29.51,1060.68,15,22.73,-2.38,1.78,-9.17,3:45:34,34.219231N,-112.948608W,1116.50,1.28,15
28674,29.44,1060.68,14,22.79,0.08,-0.65,-9.54,3:45:35,34.219231N,-112.948593W,1116.50,1.23,15
29675,29.37,1060.68,11,22.73,1.60,-1.20,-9.02,3:45:36,34.219227N,-112.948593W,1116.60,1.09,15
30676,29.31,1060.78,10,22.80,-0.38,-1.37,-8.58,3:45:37,34.219231N,-112.948593W,1116.70,0.48,15
31677,29.27,1060.96,6,22.75,1.48,-0.08,-9.22,3:45:38,34.219223N,-112.948586W,1116.80,0.22,15
32678,29.23,1060.87,10,22.82,-0.11,-0.42,-8.56,3:45:39,34.219227N,-112.948593W,1116.80,0.22,15
33679,29.20,1060.87,14,22.75,0.33,-2.35,-10.49,3:45:40,34.219227N,-112.948586W,1116.80,0.33,15
34680,29.17,1060.87,13,22.73,-0.58,-1.94,-8.59,3:45:41,34.219227N,-112.948586W,1116.80,0.14,14
35681,29.11,1061.14,6,22.73,-2.23,-0.47,-8.80,3:45:42,34.219227N,-112.948586W,1116.80,0.98,15
36682,29.04,1061.33,8,22.77,-0.86,-1.17,-9.27,3:45:43,34.219223N,-112.948586W,1116.90,0.29,15
37683,28.99,1061.51,13,22.78,0.25,-0.55,-9.98,3:45:44,34.219227N,-112.948593W,1116.90,0.41,13
38684,28.95,1061.70,14,22.76,0.61,2.12,-8.94,3:45:45,34.219227N,-112.948593W,1116.90,0.43,13
39685,28.92,1061.70,8,22.80,1.72,-0.42,-9.71,3:45:46,34.219231N,-112.948593W,1116.90,0.52,15
40686,28.89,1061.88,5,22.79,-0.86,0.26,-9.91,3:45:47,34.219231N,-112.948593W,1116.90,0.31,15
41687,28.86,1061.79,8,22.78,0.69,-1.71,-10.62,3:45:48,34.219227N,-112.948593W,1116.90,0.36,15
42688,28.82,1061.88,8,22.75,1.42,0.44,-8.19,3:45:49,34.219227N,-112.948586W,1116.90,0.71,15
43689,28.79,1061.88,8,22.77,-0.15,-0.46,-7.03,3:45:50,34.219227N,-112.948586W,1116.80,0.69,15
44690,28.76,1061.97,6,22.79,-2.38,0.49,-7.69,3:45:51,34.219223N,-112.948570W,1116.70,1.35,15
45691,28.72,1061.97,8,22.80,0.01,0.30,-7.92,3:45:52,34.219219N,-112.948555W,1116.60,1.36,15
46692,28.69,1062.07,8,22.82,0.62,0.44,-9.56,3:45:53,34.219219N,-112.948555W,1116.40,1.65,15
