time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
9610770,30.54,24435.18,377,-6.72,-0.36,-0.13,9.94,1:11:41,34.053326N,-113.251740W,27934.00,7.15,15
9611771,30.63,24076.63,113,-6.69,-0.05,-0.14,9.99,1:11:42,34.053352N,-113.251724W,27937.00,7.76,15
9612772,31.12,24233.17,426,-6.71,-0.29,-0.01,10.02,1:11:43,34.053383N,-113.251709W,27939.90,7.80,15
9613773,30.97,24578.32,429,-6.70,-0.15,-0.11,10.05,1:11:44,34.053410N,-113.251686W,27942.70,7.99,15
9614774,30.86,24823.52,396,-6.70,-0.30,-0.43,10.08,1:11:45,34.053432N,-113.251663W,27945.60,8.05,15
9615775,30.78,25126.27,389,-6.69,-0.26,-0.23,10.06,1:11:46,34.053459N,-113.251633W,27948.40,8.08,15
9616776,30.73,25200.01,376,-6.71,-0.23,-0.30,10.05,1:11:47,34.053486N,-113.251610W,27951.30,7.90,15
9617777,30.71,25191.10,355,-6.70,-0.15,-0.21,10.07,1:11:48,34.053509N,-113.251587W,27954.10,7.80,15
9618778,30.65,25100.01,375,-6.68,-0.13,-0.32,10.09,1:11:49,34.053528N,-113.251549W,27956.90,7.73,15
9619779,30.59,24990.80,333,-6.70,-0.45,-0.43,10.08,1:11:50,34.053551N,-113.251518W,27959.80,7.69,15
9620780,30.54,24900.82,369,-6.69,-0.32,-0.43,10.09,1:11:51,34.053574N,-113.251495W,27962.70,7.61,15
9621781,30.53,24837.23,392,-6.65,-0.33,-0.33,10.09,1:11:52,34.053589N,-113.251472W,27965.50,7.31,15
9622782,30.54,24291.40,104,-6.64,-0.46,-0.32,10.08,1:11:53,34.053608N,-113.251442W,27968.30,7.25,15
9623783,31.03,24473.09,391,-6.70,-0.32,-0.24,10.06,1:11:54,34.053623N,-113.251404W,27971.20,7.00,15
9624784,30.93,24739.43,369,-6.64,-0.27,-0.29,10.02,1:11:55,34.053635N,-113.251381W,27974.10,6.69,15
9625785,30.87,24728.69,353,-6.66,-0.13,-0.21,9.99,1:11:56,34.053650N,-113.251350W,27977.10,6.24,15
9626786,30.79,24707.29,372,-6.67,-0.22,-0.19,9.95,1:11:57,34.053665N,-113.251328W,27980.10,6.16,15
9627787,30.73,24688.64,380,-6.66,-0.32,-0.42,9.95,1:11:58,34.053677N,-113.251305W,27983.00,5.88,15
9628788,30.70,24678.02,369,-6.64,-0.29,-0.47,9.97,1:11:59,34.053688N,-113.251274W,27985.80,5.51,15
9629789,30.70,24667.43,362,-6.67,-0.37,-0.33,10.01,1:12:0,34.053696N,-113.251266W,27988.40,5.21,15
9630790,30.78,24180.42,9,-6.60,-0.46,-0.23,10.09,1:12:1,34.053707N,-113.251236W,27990.90,5.20,15
9631791,31.15,23862.21,9,-6.62,-0.32,-0.18,10.15,1:12:2,34.053711N,-113.251213W,27993.50,5.20,15
9632792,31.15,23663.36,9,-6.57,-0.33,-0.18,10.18,1:12:3,34.053726N,-113.251190W,27996.00,5.20,15
9633793,31.13,23665.50,416,-6.61,-0.37,-0.38,10.18,1:12:4,34.053734N,-113.251175W,27998.60,5.26,15
