time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
6607770,-21.80,15717.98,335,-8.75,-0.29,-0.45,10.31,12:21:38,33.938416N,-113.626518W,16208.50,67.23,16
6608771,-21.90,15727.11,335,-8.76,-0.67,-0.54,10.04,12:21:39,33.938541N,-113.626228W,16212.80,66.65,16
6609772,-22.00,15733.56,362,-8.74,-0.32,-0.25,9.94,12:21:40,33.938656N,-113.625946W,16216.50,66.40,16
6610773,-22.09,15740.01,350,-8.77,-0.26,-0.63,9.87,12:21:41,33.938763N,-113.625648W,16221.00,66.78,16
6611774,-22.15,15690.15,381,-8.77,-0.36,-0.11,9.72,12:21:42,33.938862N,-113.625359W,16225.10,66.27,16
6612775,-22.14,15744.32,340,-8.77,-0.37,-0.44,9.88,12:21:43,33.938965N,-113.625038W,16229.10,68.24,16
6613776,-22.14,15755.09,321,-8.78,-0.12,-0.12,10.05,12:21:44,33.939068N,-113.624733W,16231.90,67.97,16
6614777,-22.17,15757.79,357,-8.80,-0.38,0.12,10.20,12:21:45,33.939167N,-113.624435W,16235.00,67.51,16
6615778,-22.20,15755.63,314,-8.78,-0.11,-0.11,10.17,12:21:46,33.939266N,-113.624130W,16237.90,67.13,16
6616779,-22.04,15713.69,346,-8.79,-0.39,-0.04,10.05,12:21:47,33.939373N,-113.623833W,16241.80,66.69,16
6617780,-21.64,15649.14,19,-8.79,0.06,-0.34,10.09,12:21:48,33.939472N,-113.623528W,16245.50,66.10,16
6618781,-21.33,15720.67,347,-8.77,0.00,-0.11,10.19,12:21:49,33.939579N,-113.623245W,16248.60,66.18,16
6619782,-21.48,15781.58,337,-8.78,-0.46,-0.38,10.21,12:21:50,33.939682N,-113.622940W,16252.10,67.06,16
6620783,-21.60,15810.88,340,-8.80,-0.49,-0.13,10.23,12:21:51,33.939796N,-113.622643W,16255.60,67.51,16
6621784,-21.69,15836.49,326,-8.81,0.04,-0.42,10.23,12:21:52,33.939899N,-113.622353W,16259.90,67.51,16
6622785,-21.77,15862.20,335,-8.81,-0.18,-0.02,10.15,12:21:53,33.940006N,-113.622055W,16263.30,67.51,16
6623786,-21.82,15853.44,341,-8.83,-0.41,-0.53,9.99,12:21:54,33.940121N,-113.621758W,16267.00,67.10,16
6624787,-21.85,15821.22,340,-8.86,-0.27,-0.16,9.90,12:21:55,33.940243N,-113.621468W,16270.90,67.51,16
6625788,-21.85,15804.36,345,-8.83,-0.15,-0.16,9.92,12:21:56,33.940357N,-113.621170W,16275.00,66.25,16
6626789,-21.85,15819.59,355,-8.86,-0.56,-0.22,10.02,12:21:57,33.940483N,-113.620888W,16278.40,66.79,16
6627790,-21.82,15806.53,372,-8.89,-0.54,0.04,10.02,12:21:58,33.940617N,-113.620605W,16282.20,67.58,16
6628791,-21.78,15733.56,409,-8.90,-0.44,-0.22,10.19,12:21:59,33.940746N,-113.620316W,16285.90,67.93,16
6629792,-21.74,15748.63,361,-8.88,0.26,-0.28,10.29,12:22:0,33.940876N,-113.620033W,16289.30,67.85,16
6630793,-21.73,15840.31,357,-8.91,-0.25,-0.46,10.27,12:22:1,33.941010N,-113.619751W,16292.30,67.05,16
6631794,-21.70,15908.95,358,-8.94,-0.28,-0.38,10.22,12:22:2,33.941139N,-113.619469W,16295.20,66.19,16
6632795,-21.66,15895.71,367,-8.92,-0.06,-0.35,10.14,12:22:3,33.941269N,-113.619186W,16298.70,64.74,16
6633796,-21.62,15878.66,292,-8.92,-0.46,-0.24,10.16,12:22:4,33.941391N,-113.618919W,16302.50,63.85,16
6634797,-21.60,15867.68,348,-8.96,0.00,-0.42,10.13,12:22:5,33.941505N,-113.618652W,16306.50,64.05,16
6635798,-21.61,15861.10,351,-8.93,0.03,-0.10,10.06,12:22:6,33.941628N,-113.618370W,16311.20,65.47,16
6636799,-21.58,15814.14,364,-8.99,-0.19,0.06,10.06,12:22:7,33.941742N,-113.618088W,16315.90,67.18,16
6637800,-21.55,15887.46,327,-9.00,-0.02,-0.06,10.21,12:22:8,33.941849N,-113.617783W,16319.60,68.51,16
6638801,-21.55,15881.96,301,-9.07,-0.36,-0.20,10.15,12:22:9,33.941967N,-113.617470W,16323.70,69.67,16
6639802,-21.60,15873.72,301,-9.05,-0.29,0.08,10.02,12:22:10,33.942078N,-113.617180W,16327.70,69.75,16
6640803,-21.59,15869.88,316,-9.05,-0.52,-0.16,9.94,12:22:11,33.942173N,-113.616859W,16330.80,69.11,16
6641804,-21.56,15867.68,274,-9.05,-0.43,-0.03,9.78,12:22:12,33.942276N,-113.616547W,16335.80,68.46,16
