time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
10811970,27.75,22772.68,247,0.36,-2.93,0.03,18.42,1:31:42,34.057163N,-113.208282W,24675.00,25.55,12
10812971,27.61,22728.15,122,0.37,2.38,6.81,7.50,1:31:43,34.057144N,-113.208382W,24644.90,6.28,13
10813972,27.46,22897.66,364,0.39,12.37,-9.03,4.14,1:31:44,34.057117N,-113.208382W,24615.30,21.21,12
10814973,27.30,22804.99,244,0.38,10.82,3.74,6.81,1:31:45,34.057087N,-113.208435W,24587.00,18.36,13
10815974,27.18,22652.46,128,0.39,1.01,8.73,13.48,1:31:46,34.057106N,-113.208488W,24556.50,7.25,13
10816975,27.28,22744.14,462,0.39,4.15,15.63,10.22,1:31:47,34.057095N,-113.208511W,24526.60,17.23,13
10817976,27.09,22684.01,439,0.37,12.50,-3.29,9.30,1:31:48,34.057053N,-113.208549W,24497.20,12.60,13
10818977,26.91,22467.16,226,0.37,-4.50,15.28,9.97,1:31:49,34.057014N,-113.208588W,24466.90,15.31,13
10819978,26.72,22463.79,353,0.43,8.42,-5.23,5.46,1:31:50,34.056950N,-113.208572W,24434.60,13.39,14
10820979,26.56,22509.46,6,0.41,12.08,-8.27,11.36,1:31:51,34.056885N,-113.208603W,24402.60,22.39,14
10821980,26.43,22477.28,213,0.35,18.28,-2.28,14.06,1:31:52,34.056797N,-113.208641W,24371.30,8.06,14
10822981,26.27,22398.53,338,0.43,-3.22,-1.77,3.41,1:31:53,34.056778N,-113.208626W,24339.20,7.37,13
10823982,26.08,22470.53,304,0.42,3.91,1.27,10.73,1:31:54,34.056736N,-113.208641W,24307.30,18.89,14
10824983,25.93,22443.62,259,0.45,-3.44,-7.61,15.89,1:31:55,34.056702N,-113.208664W,24276.90,3.42,14
10825984,25.75,22126.46,341,0.46,-9.31,-3.32,3.47,1:31:56,34.056698N,-113.208664W,24245.10,6.96,14
10826985,25.62,22151.77,216,0.46,15.24,-20.00,-4.27,1:31:57,34.056664N,-113.208679W,24213.30,19.72,14
