time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
3604769,25.54,647.83,57,33.68,-0.62,0.14,10.07,11:31:35,33.664001N,-114.008347W,745.70,0.13,18
3605770,25.45,649.96,176,33.70,-1.07,-0.33,10.19,11:31:36,33.664001N,-114.008347W,748.00,0.15,18
3606771,25.58,657.50,177,33.71,-0.18,-0.06,10.31,11:31:37,33.664009N,-114.008362W,750.40,0.26,18
3607772,25.55,661.22,184,33.64,0.05,-0.05,10.46,11:31:38,33.664021N,-114.008369W,755.00,0.32,18
3608773,25.63,668.06,201,33.67,-0.44,-0.06,10.32,11:31:39,33.664032N,-114.008385W,758.90,0.33,18
3609774,25.54,675.97,219,33.65,-0.40,-0.26,10.15,11:31:40,33.664040N,-114.008400W,762.90,0.26,18
3610775,25.40,660.96,213,33.64,0.44,0.07,10.08,11:31:41,33.664047N,-114.008408W,766.60,0.18,18
3611776,25.50,656.79,205,33.66,-0.67,-0.73,10.05,11:31:42,33.664043N,-114.008423W,769.20,1.34,18
3612777,25.85,661.40,55,33.65,-0.43,0.12,10.09,11:31:43,33.664040N,-114.008423W,771.60,2.68,18
3613778,25.70,666.28,158,33.65,-0.83,-0.63,9.99,11:31:44,33.664032N,-114.008423W,776.00,2.97,18
3614779,25.77,677.12,192,33.62,-0.03,-0.00,10.02,11:31:45,33.664021N,-114.008438W,780.10,3.36,18
3615780,25.64,686.91,181,33.61,0.00,0.43,10.11,11:31:46,33.664013N,-114.008446W,783.70,4.33,18
3616781,25.50,695.36,199,33.61,-0.06,-0.46,10.04,11:31:47,33.664013N,-114.008476W,787.10,5.13,18
3617782,25.37,703.02,199,33.68,-0.84,-0.12,9.84,11:31:48,33.664017N,-114.008514W,791.50,5.71,18
3618783,25.26,714.35,209,33.58,-0.44,0.17,10.05,11:31:49,33.664021N,-114.008537W,796.20,5.28,18
3619784,25.17,713.81,228,33.64,-0.07,-0.44,9.89,11:31:50,33.664021N,-114.008560W,801.00,4.41,18
3620785,25.12,716.58,204,33.62,-0.76,-0.48,9.90,11:31:51,33.664021N,-114.008591W,804.50,4.67,18
3621786,25.08,719.34,214,33.59,-0.58,-0.15,10.26,11:31:52,33.664021N,-114.008614W,808.50,4.27,18
3622787,25.03,723.27,203,33.63,-0.63,-0.28,10.25,11:31:53,33.664021N,-114.008629W,811.60,4.53,18
3623788,24.98,733.90,206,33.61,-0.34,-0.17,10.10,11:31:54,33.664024N,-114.008652W,815.50,5.08,18
3624789,24.97,743.38,209,33.60,-0.36,-0.26,10.11,11:31:55,33.664036N,-114.008675W,819.70,5.13,18
3625790,24.99,752.25,215,33.64,0.02,-0.24,10.02,11:31:56,33.664043N,-114.008705W,823.90,4.58,18
3626791,25.01,758.51,205,33.64,-0.49,-0.22,10.14,11:31:57,33.664051N,-114.008720W,828.10,3.76,18
3627792,25.01,761.92,220,33.63,-0.30,-0.25,10.24,11:31:58,33.664059N,-114.008728W,831.30,2.85,18
3628793,25.00,762.55,194,33.64,-0.68,0.07,9.94,11:31:59,33.664062N,-114.008743W,834.50,2.34,18
3629794,24.97,763.35,174,33.59,0.07,-0.27,9.92,11:32:0,33.664070N,-114.008759W,837.50,2.35,18
3630795,24.90,763.62,190,33.59,-0.02,-0.20,10.16,11:32:1,33.664082N,-114.008766W,840.60,3.56,18
3631796,24.90,765.33,187,33.56,-0.02,-0.31,10.21,11:32:2,33.664093N,-114.008766W,843.50,3.94,18
3632797,24.91,758.78,209,33.58,-0.03,-0.21,10.05,11:32:3,33.664101N,-114.008781W,846.60,3.61,18
3633798,25.21,743.92,55,33.57,-0.64,-0.25,9.93,11:32:4,33.664112N,-114.008797W,849.50,3.43,18
3634799,25.36,747.41,214,33.57,-0.55,-0.39,10.01,11:32:5,33.664124N,-114.008804W,852.60,3.68,18
3635800,25.22,759.50,213,33.56,-0.22,0.07,10.34,11:32:6,33.664135N,-114.008835W,855.80,3.74,18
3636801,25.10,766.67,197,33.54,-0.27,-0.71,9.95,11:32:7,33.664143N,-114.008842W,858.90,3.92,18
3637802,24.99,772.14,187,33.60,-0.16,-0.38,9.95,11:32:8,33.664158N,-114.008873W,862.00,4.52,18
3638803,24.93,776.90,208,33.61,-0.15,-0.18,10.16,11:32:9,33.664173N,-114.008881W,865.60,4.52,18
3639804,24.91,781.48,214,33.59,-0.74,-0.52,10.16,11:32:10,33.664188N,-114.008896W,869.40,4.10,18
3640805,24.92,785.43,166,33.55,-0.26,-0.16,10.27,11:32:11,33.664204N,-114.008911W,872.40,4.07,18
3641806,24.93,788.67,195,33.58,-0.47,-0.33,9.82,11:32:12,33.664219N,-114.008919W,875.30,4.09,18
3642807,24.93,792.53,138,33.59,-0.33,-0.10,10.13,11:32:13,33.664227N,-114.008934W,878.20,3.51,18
3643808,24.93,796.49,191,33.55,-0.17,-0.03,10.25,11:32:14,33.664234N,-114.008949W,881.20,4.10,18
3644809,24.92,800.17,164,33.53,0.16,-0.25,10.13,11:32:15,33.664238N,-114.008972W,884.30,5.27,18
3645810,24.91,803.68,166,33.55,-0.29,-0.27,10.07,11:32:16,33.664246N,-114.008995W,888.10,6.27,18
3646811,24.90,807.28,189,33.55,-0.22,-0.55,9.90,11:32:17,33.664253N,-114.009033W,892.30,6.18,18
3647812,24.87,810.53,199,33.56,-0.17,0.08,10.06,11:32:18,33.664257N,-114.009064W,896.60,6.24,18
3648813,24.84,813.86,194,33.53,-0.30,0.04,10.13,11:32:19,33.664261N,-114.009087W,900.80,6.56,18
3649814,24.81,817.19,206,33.56,0.00,-0.13,9.99,11:32:20,33.664268N,-114.009125W,905.10,6.51,18
3650815,24.78,820.35,195,33.55,-0.24,-0.09,9.95,11:32:21,33.664276N,-114.009155W,909.30,6.50,18
3651816,24.74,823.86,196,33.56,-0.29,0.04,10.11,11:32:22,33.664280N,-114.009178W,913.50,7.10,18
3652817,24.71,827.65,208,33.51,-0.17,0.10,10.32,11:32:23,33.664284N,-114.009216W,917.60,7.39,18
3653818,24.66,831.44,210,33.52,-0.36,-0.16,10.11,11:32:24,33.664280N,-114.009254W,921.60,7.37,18
3654819,24.59,835.05,184,33.55,-0.37,-0.37,10.00,11:32:25,33.664276N,-114.009293W,925.90,7.03,18
3655820,24.53,838.93,169,33.54,-0.28,-0.34,10.31,11:32:26,33.664268N,-114.009315W,930.10,6.65,18
3656821,24.48,842.82,182,33.55,0.01,-0.13,10.21,11:32:27,33.664257N,-114.009346W,934.30,6.26,18
3657822,24.45,847.52,208,33.55,-0.19,-0.59,9.97,11:32:28,33.664242N,-114.009369W,938.60,6.01,18
3658823,24.38,848.51,55,33.55,-0.54,-0.32,10.06,11:32:29,33.664234N,-114.009392W,942.80,5.52,18
3659824,24.32,853.12,184,33.55,-0.53,-0.40,10.20,11:32:30,33.664223N,-114.009422W,947.00,5.20,18
3660825,24.30,857.55,213,33.59,0.02,0.21,10.05,11:32:31,33.664215N,-114.009445W,951.20,6.09,18
3661826,24.25,865.52,243,33.55,-0.31,-0.21,9.82,11:32:32,33.664207N,-114.009476W,955.30,6.40,18
3662827,24.21,880.29,224,33.54,0.02,-0.20,10.06,11:32:33,33.664196N,-114.009499W,959.60,5.71,18
3663828,24.16,860.72,58,33.53,0.24,-0.27,10.27,11:32:34,33.664185N,-114.009521W,963.60,5.42,18
3664829,24.23,857.10,209,33.54,-0.29,-0.32,9.98,11:32:35,33.664169N,-114.009537W,967.40,4.98,18
3665830,24.58,864.70,234,33.55,0.02,-0.18,9.95,11:32:36,33.664154N,-114.009552W,971.30,4.10,18
3666831,24.52,871.22,228,33.52,0.11,-0.48,10.10,11:32:37,33.664143N,-114.009560W,974.20,3.29,18
3667832,24.49,876.75,175,33.50,-0.10,-0.03,10.17,11:32:38,33.664131N,-114.009560W,976.90,2.47,18
3668833,24.47,881.83,189,33.54,0.11,-0.02,10.04,11:32:39,33.664124N,-114.009575W,979.50,1.71,18
3669834,24.45,886.64,209,33.52,-0.61,-0.46,10.02,11:32:40,33.664116N,-114.009575W,981.80,1.42,18
3670835,24.45,890.99,179,33.53,-0.96,-0.58,10.09,11:32:41,33.664108N,-114.009575W,984.10,2.29,18
3671836,24.45,895.62,201,33.52,-0.47,-0.24,10.08,11:32:42,33.664101N,-114.009575W,987.20,2.69,18
3672837,24.42,899.26,169,33.52,-0.29,-0.29,10.11,11:32:43,33.664097N,-114.009590W,990.40,2.75,18
3673838,24.38,902.53,179,33.52,0.03,0.03,10.13,11:32:44,33.664089N,-114.009590W,993.40,2.56,18
3674839,24.44,898.35,197,33.52,-0.40,-0.01,9.98,11:32:45,33.664082N,-114.009590W,996.60,2.37,18
3675840,24.70,904.71,205,33.55,-0.19,-0.19,10.00,11:32:46,33.664074N,-114.009575W,1000.00,1.59,18
3676841,24.60,909.71,218,33.52,-0.10,-0.40,9.95,11:32:47,33.664070N,-114.009575W,1002.30,1.93,18
3677842,24.55,914.53,169,33.52,-0.35,-0.73,10.17,11:32:48,33.664066N,-114.009560W,1004.70,1.86,18
3678843,24.54,916.53,213,33.48,-0.60,-0.60,10.15,11:32:49,33.664066N,-114.009552W,1007.00,1.93,18
3679844,24.67,920.17,164,33.52,-0.61,-0.09,9.92,11:32:50,33.664059N,-114.009552W,1009.20,3.36,18
3680845,24.71,925.09,230,33.53,-0.36,-0.27,9.94,11:32:51,33.664043N,-114.009552W,1012.70,4.64,18
3681846,24.68,928.91,151,33.49,0.32,-0.70,10.07,11:32:52,33.664028N,-114.009552W,1016.90,5.02,18
3682847,24.67,933.01,230,33.50,0.30,-0.27,10.43,11:32:53,33.664017N,-114.009552W,1021.20,3.91,18
3683848,24.67,924.36,211,33.51,-0.88,-0.40,10.31,11:32:54,33.664001N,-114.009537W,1024.60,3.49,18
3684849,25.05,929.00,223,33.48,0.21,-0.15,10.36,11:32:55,33.663990N,-114.009537W,1028.20,3.79,18
3685850,24.90,936.66,192,33.48,-0.56,0.04,9.89,11:32:56,33.663982N,-114.009521W,1031.90,3.31,18
3686851,24.74,942.31,181,33.49,0.11,-0.10,10.15,11:32:57,33.663982N,-114.009514W,1035.60,2.34,18
3687852,24.64,938.85,205,33.50,-0.42,-0.63,10.32,11:32:58,33.663979N,-114.009514W,1039.20,1.83,18
3688853,24.87,943.50,226,33.48,-0.45,-0.12,10.05,11:32:59,33.663967N,-114.009499W,1041.60,3.05,18
3689854,24.70,950.89,214,33.50,-0.65,0.57,10.07,11:33:0,33.663963N,-114.009499W,1045.50,2.24,18
3690855,24.56,964.23,210,33.50,-0.18,-0.25,10.11,11:33:1,33.663963N,-114.009499W,1049.40,0.08,18
3691856,24.46,973.75,228,33.49,-0.02,-0.11,10.07,11:33:2,33.663963N,-114.009499W,1052.20,0.02,18
3692857,24.38,977.41,205,33.48,-0.91,-0.10,9.98,11:33:3,33.663963N,-114.009499W,1054.90,0.08,18
3693858,24.24,980.15,186,33.46,-0.78,-0.19,10.11,11:33:4,33.663967N,-114.009483W,1057.50,0.10,18
3694859,24.15,983.36,179,33.45,0.43,0.33,10.01,11:33:5,33.663971N,-114.009483W,1059.90,0.02,18
3695860,24.10,986.93,161,33.45,-1.02,0.52,10.20,11:33:6,33.663971N,-114.009499W,1062.00,0.23,18
3696861,24.06,985.37,203,33.48,-1.25,0.56,10.40,11:33:7,33.663967N,-114.009499W,1066.60,0.31,18
3697862,24.02,992.06,225,33.49,-0.85,-0.28,9.90,11:33:8,33.663963N,-114.009514W,1071.50,0.17,18
3698863,23.97,996.83,206,33.45,0.40,0.24,9.37,11:33:9,33.663967N,-114.009521W,1073.70,0.31,18
3699864,23.92,1001.14,210,33.46,-1.46,-0.48,10.02,11:33:10,33.663975N,-114.009537W,1078.30,0.20,18
3700865,23.88,1010.51,235,33.47,-1.42,0.60,10.61,11:33:11,33.663979N,-114.009537W,1080.00,0.16,18
3701866,23.81,1006.56,203,33.47,0.36,0.05,10.19,11:33:12,33.663979N,-114.009521W,1081.60,4.30,18
3702867,23.72,999.49,214,33.46,-0.88,-1.73,9.78,11:33:13,33.663967N,-114.009514W,1086.80,3.69,18
3703868,23.65,1003.99,57,33.45,-0.45,-0.40,10.09,11:33:14,33.663948N,-114.009499W,1092.10,3.33,18
3704869,23.58,1005.27,182,33.43,0.56,0.33,10.32,11:33:15,33.663933N,-114.009483W,1097.50,3.26,18
3705870,23.79,1005.82,219,33.46,-0.85,-0.30,10.34,11:33:16,33.663918N,-114.009483W,1102.40,3.00,18
3706871,23.93,1013.91,208,33.47,-0.75,0.01,9.94,11:33:17,33.663906N,-114.009499W,1106.90,4.30,18
3707872,23.75,1020.98,179,33.47,-0.05,-0.46,9.95,11:33:18,33.663895N,-114.009521W,1111.30,4.33,18
3708873,23.61,1027.60,192,33.48,-0.76,-0.42,10.43,11:33:19,33.663883N,-114.009537W,1115.80,3.61,18
3709874,23.52,1033.22,175,33.43,-0.36,-0.09,10.16,11:33:20,33.663872N,-114.009552W,1119.90,4.47,18
3710875,23.42,1038.46,169,33.48,-0.18,0.03,10.06,11:33:21,33.663860N,-114.009560W,1124.00,5.13,18
3711876,23.34,1043.35,179,33.43,-0.02,-0.63,9.93,11:33:22,33.663845N,-114.009575W,1128.80,4.65,18
3712877,23.27,1048.69,199,33.46,0.18,-0.57,9.88,11:33:23,33.663826N,-114.009590W,1133.80,4.43,18
3713878,23.18,1045.74,210,33.39,-0.57,-0.47,10.03,11:33:24,33.663818N,-114.009598W,1137.80,4.78,18
3714879,23.11,1057.36,218,33.43,-0.23,-0.02,10.14,11:33:25,33.663815N,-114.009628W,1142.90,5.06,18
3715880,23.07,1062.25,235,33.41,-0.69,0.06,10.10,11:33:26,33.663811N,-114.009651W,1147.80,4.98,18
3716881,23.05,1065.95,169,33.41,-0.62,-0.03,10.13,11:33:27,33.663811N,-114.009674W,1152.80,4.33,18
3717882,23.02,1069.55,210,33.45,0.25,0.00,10.28,11:33:28,33.663811N,-114.009689W,1156.30,3.50,18
3718883,23.00,1073.15,189,33.40,-0.17,-0.50,10.25,11:33:29,33.663811N,-114.009705W,1159.80,2.97,18
3719884,22.99,1076.29,210,33.41,0.08,-0.33,10.08,11:33:30,33.663803N,-114.009712W,1163.40,2.00,18
3720885,23.01,1075.92,200,33.39,0.07,-0.37,10.06,11:33:31,33.663803N,-114.009727W,1165.90,1.55,18
3721886,23.20,1077.59,224,33.39,-0.78,-0.69,10.08,11:33:32,33.663795N,-114.009727W,1168.50,1.51,18
3722887,23.11,1093.13,229,33.41,-0.42,0.03,10.25,11:33:33,33.663792N,-114.009727W,1171.60,1.30,18
3723888,23.02,1106.84,243,33.35,-0.05,0.11,10.05,11:33:34,33.663784N,-114.009743W,1174.50,0.98,18
3724889,22.97,1108.23,210,33.42,-0.24,0.35,10.00,11:33:35,33.663784N,-114.009743W,1177.40,1.31,18
3725890,22.90,1109.35,194,33.43,0.05,-0.21,9.95,11:33:36,33.663780N,-114.009743W,1180.40,1.58,18
3726891,22.85,1111.01,197,33.43,-0.67,-0.46,10.17,11:33:37,33.663776N,-114.009743W,1182.90,1.38,18
3727892,22.81,1114.35,203,33.39,-0.55,-0.59,10.05,11:33:38,33.663773N,-114.009743W,1185.40,1.65,18
3728893,22.76,1116.77,214,33.39,-0.43,-0.38,9.82,11:33:39,33.663765N,-114.009743W,1188.00,1.42,18
3729894,22.72,1099.24,214,33.40,-0.40,-0.36,9.98,11:33:40,33.663765N,-114.009743W,1190.60,1.43,18
3730895,22.88,1113.80,214,33.34,0.09,-0.13,10.22,11:33:41,33.663754N,-114.009727W,1193.60,3.31,18
3731896,22.81,1120.48,219,33.36,-0.66,0.06,10.31,11:33:42,33.663742N,-114.009727W,1200.00,2.80,18
3732897,22.70,1129.49,211,33.36,-0.27,-0.22,10.04,11:33:43,33.663734N,-114.009712W,1205.90,2.53,18
3733898,22.54,1134.41,216,33.37,-0.38,0.00,10.30,11:33:44,33.663723N,-114.009705W,1211.90,2.56,18
3734899,22.34,1138.04,165,33.36,-0.31,-0.36,10.03,11:33:45,33.663708N,-114.009705W,1217.70,2.99,18
3735900,22.20,1141.76,175,33.37,-0.04,0.15,10.33,11:33:46,33.663696N,-114.009705W,1223.10,2.41,18
3736901,22.15,1145.58,219,33.34,0.21,-0.09,10.21,11:33:47,33.663689N,-114.009705W,1228.40,2.43,18
3737902,22.13,1149.58,226,33.32,-0.21,-0.25,10.02,11:33:48,33.663681N,-114.009712W,1233.20,2.21,18
3738903,22.13,1153.96,201,33.40,-0.57,-0.32,9.94,11:33:49,33.663673N,-114.009727W,1236.20,2.26,18
3739904,22.14,1158.80,192,33.36,-0.24,-0.35,10.16,11:33:50,33.663666N,-114.009727W,1241.60,2.31,18
3740905,22.13,1163.46,162,33.35,-0.25,0.05,10.00,11:33:51,33.663662N,-114.009743W,1246.80,2.31,18
3741906,22.11,1168.31,189,33.29,-0.29,0.34,10.12,11:33:52,33.663654N,-114.009750W,1251.70,3.45,18
3742907,22.08,1173.91,215,33.30,-0.20,-0.86,9.96,11:33:53,33.663647N,-114.009766W,1256.70,4.10,18
