time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
12313470,2.54,4160.92,87,-19.46,0.29,0.71,10.38,1:56:43,34.206871N,-112.946510W,4269.20,25.72,15
12314471,2.54,4151.93,236,-19.41,-0.17,1.01,11.09,1:56:44,34.206978N,-112.946396W,4261.30,28.97,15
12315472,2.56,4136.76,286,-19.36,-1.36,1.08,10.35,1:56:45,34.207088N,-112.946342W,4253.50,30.79,15
12316473,2.79,4129.82,302,-19.43,-2.51,2.60,9.73,1:56:46,34.207214N,-112.946304W,4247.60,30.78,15
12317474,2.82,4137.01,273,-19.40,-3.15,-0.74,10.38,1:56:47,34.207325N,-112.946320W,4240.50,26.76,15
12318475,2.86,4110.90,245,-19.43,-2.86,2.68,9.44,1:56:48,34.207401N,-112.946342W,4232.90,19.67,15
12319476,2.90,4104.98,224,-19.39,0.52,1.16,9.96,1:56:49,34.207458N,-112.946358W,4225.20,12.04,15
12320477,2.93,4100.96,216,-19.39,-1.40,-1.50,11.00,1:56:50,34.207497N,-112.946342W,4217.20,8.11,15
12321478,2.94,4094.04,225,-19.41,1.39,-0.74,11.29,1:56:51,34.207516N,-112.946320W,4209.10,9.73,15
12322479,2.94,4089.89,209,-19.40,-4.32,-0.25,11.03,1:56:52,34.207539N,-112.946243W,4201.00,16.98,15
12323480,2.94,4082.35,203,-19.33,1.00,0.81,9.64,1:56:53,34.207577N,-112.946152W,4193.60,22.12,14
12324481,2.95,4072.06,219,-19.37,-1.12,0.38,10.72,1:56:54,34.207645N,-112.946060W,4186.70,25.39,15
12325482,3.01,4061.40,289,-19.40,0.33,1.75,11.46,1:56:55,34.207764N,-112.945969W,4180.40,28.89,15
12326483,3.21,4058.39,319,-19.37,3.66,1.11,10.03,1:56:56,34.207874N,-112.945946W,4172.60,28.64,15
12327484,3.22,4054.14,302,-19.36,-2.59,2.85,9.15,1:56:57,34.207973N,-112.945961W,4164.90,25.46,15
