time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
8709870,13.25,22343.95,317,-11.43,-0.34,-0.49,9.90,12:56:40,34.054260N,-113.280602W,24451.90,8.48,17
8710871,13.18,22330.80,298,-11.46,-0.41,-0.65,9.89,12:56:41,34.054222N,-113.280586W,24456.00,9.05,17
8711872,13.14,22319.33,343,-11.43,-0.13,-0.61,9.96,12:56:42,34.054188N,-113.280579W,24459.80,9.37,17
8712873,13.14,22166.05,106,-11.43,-0.34,-0.13,10.05,12:56:43,34.054153N,-113.280548W,24463.50,9.77,17
8713874,13.59,22280.18,404,-11.36,-0.39,-0.31,10.09,12:56:44,34.054123N,-113.280525W,24466.80,10.72,17
8714875,13.49,22194.75,411,-11.44,-0.04,-0.57,10.08,12:56:45,34.054092N,-113.280472W,24470.20,11.49,17
8715876,13.45,22215.57,400,-11.44,-0.09,-0.58,10.16,12:56:46,34.054066N,-113.280434W,24473.50,11.44,17
8716877,13.41,22435.24,379,-11.43,-0.26,-0.50,10.26,12:56:47,34.054031N,-113.280396W,24476.90,10.57,16
8717878,13.40,22470.53,347,-11.45,-0.45,-0.37,10.26,12:56:48,34.054005N,-113.280373W,24480.40,9.80,16
8718879,13.39,22431.89,311,-11.39,-0.68,-0.47,10.17,12:56:49,34.053970N,-113.280342W,24484.10,9.47,16
8719880,13.33,22401.86,280,-11.39,-0.32,-0.51,10.09,12:56:50,34.053940N,-113.280319W,24487.90,9.28,16
8720881,13.31,22378.61,330,-11.39,-0.03,-0.32,10.01,12:56:51,34.053913N,-113.280281W,24491.80,8.87,16
8721882,13.31,22355.48,346,-11.41,-0.38,-0.02,9.96,12:56:52,34.053890N,-113.280258W,24495.70,8.64,16
8722883,13.33,22343.95,346,-11.39,-0.61,0.06,9.91,12:56:53,34.053867N,-113.280220W,24499.50,7.93,16
8723884,13.36,22335.73,318,-11.38,-0.35,0.25,9.95,12:56:54,34.053848N,-113.280190W,24503.30,6.55,16
8724885,13.39,22332.44,345,-11.38,-0.23,-0.14,10.13,12:56:55,34.053829N,-113.280182W,24506.90,5.18,16
8725886,13.42,22329.16,365,-11.36,-0.10,-0.37,10.19,12:56:56,34.053814N,-113.280167W,24510.40,4.90,16
8726887,13.45,22325.88,356,-11.35,-0.04,-0.69,10.22,12:56:57,34.053795N,-113.280167W,24513.80,5.55,16
8727888,13.47,22319.33,340,-11.36,0.03,-0.30,10.27,12:56:58,34.053772N,-113.280151W,24517.30,6.15,16
8728889,13.49,22099.71,9,-11.36,-0.53,-0.02,10.31,12:56:59,34.053749N,-113.280144W,24521.00,6.76,16
8729890,14.00,21839.42,11,-11.36,-0.55,-0.45,10.15,12:57:0,34.053726N,-113.280128W,24524.90,7.72,16
8730891,13.97,21679.04,36,-11.38,-0.41,-0.71,9.89,12:57:1,34.053699N,-113.280106W,24528.90,8.32,16
8731892,14.30,21995.58,404,-11.38,-0.03,-0.53,9.70,12:57:2,34.053669N,-113.280075W,24533.00,8.63,15
8732893,14.15,22212.37,337,-11.37,-0.65,-0.17,9.91,12:57:3,34.053638N,-113.280037W,24537.00,9.39,15
8733894,14.07,22517.96,397,-11.37,-0.63,0.28,10.17,12:57:4,34.053604N,-113.280014W,24540.90,10.75,15
8734895,14.04,22358.78,394,-11.37,-0.21,-0.02,10.20,12:57:5,34.053562N,-113.279984W,24544.50,12.72,15
8735896,14.02,22205.95,78,-11.36,-0.69,-0.35,10.21,12:57:6,34.053516N,-113.279945W,24548.00,13.73,15
8736897,14.02,21948.09,9,-11.34,-0.72,-0.14,10.20,12:57:7,34.053471N,-113.279907W,24551.60,14.56,15
8737898,14.16,21842.41,390,-11.35,-0.21,-0.36,10.25,12:57:8,34.053425N,-113.279861W,24555.30,14.82,15
8738899,14.11,22225.21,376,-11.38,0.07,-0.32,10.27,12:57:9,34.053379N,-113.279808W,24559.20,14.18,15
8739900,14.08,22272.06,357,-11.34,-0.09,-0.19,10.14,12:57:10,34.053333N,-113.279770W,24563.20,12.90,15
8740901,14.07,22312.78,391,-11.35,-0.52,-0.37,9.99,12:57:11,34.053291N,-113.279747W,24567.50,12.44,15
8741902,14.03,22334.08,325,-11.35,-0.65,-0.47,9.87,12:57:12,34.053242N,-113.279716W,24571.80,13.16,15
8742903,13.98,22342.30,346,-11.34,-0.33,-0.19,9.84,12:57:13,34.053188N,-113.279694W,24576.00,13.90,15
8743904,13.95,22350.53,309,-11.33,-0.11,-0.02,9.87,12:57:14,34.053131N,-113.279671W,24580.10,14.11,15
8744905,13.95,22368.69,356,-11.36,-0.17,-0.51,9.99,12:57:15,34.053074N,-113.279655W,24584.00,14.39,15
8745906,13.94,22210.76,348,-11.35,-0.09,-0.47,10.05,12:57:16,34.053017N,-113.279640W,24587.70,14.69,15
8746907,14.42,22259.09,319,-11.34,-0.32,-0.21,10.13,12:57:17,34.052963N,-113.279633W,24591.30,14.26,15
8747908,14.32,22406.85,401,-11.32,-0.33,-0.58,10.19,12:57:18,34.052906N,-113.279617W,24594.80,13.92,15
8748909,14.24,22400.19,318,-11.32,-0.15,-0.66,10.25,12:57:19,34.052849N,-113.279617W,24598.40,13.90,15
8749910,14.20,22641.99,387,-11.34,-0.33,-0.19,10.26,12:57:20,34.052792N,-113.279602W,24602.00,14.16,15
8750911,14.17,22472.21,351,-11.30,-0.39,-0.45,10.22,12:57:21,34.052734N,-113.279602W,24605.80,14.80,15
8751912,14.54,22450.33,319,-11.32,-0.14,-0.13,10.11,12:57:22,34.052673N,-113.279587W,24609.90,14.47,15
8752913,14.44,22546.97,343,-11.35,-0.45,-0.49,9.93,12:57:23,34.052616N,-113.279579W,24614.00,14.54,15
8753914,14.36,22410.18,400,-11.32,-0.20,-0.02,9.79,12:57:24,34.052559N,-113.279549W,24618.30,14.82,15
8754915,14.31,22183.57,16,-11.30,-0.35,-0.14,9.85,12:57:25,34.052505N,-113.279526W,24622.60,14.45,15
8755916,14.30,22027.99,376,-11.28,-0.43,-0.26,10.10,12:57:26,34.052456N,-113.279503W,24626.50,14.00,15
8756917,14.77,22123.31,333,-11.33,-0.07,-0.33,10.06,12:57:27,34.052406N,-113.279465W,24630.30,14.30,15
8757918,14.68,22193.15,400,-11.31,-0.58,-0.37,10.09,12:57:28,34.052357N,-113.279427W,24633.80,14.86,15
8758919,14.59,22249.39,317,-11.30,-0.45,0.09,10.17,12:57:29,34.052311N,-113.279373W,24637.40,15.08,15
8759920,14.53,22307.88,322,-11.28,-0.14,-0.39,10.20,12:57:30,34.052258N,-113.279335W,24641.00,15.11,15
8760921,14.49,22480.66,361,-11.27,-0.43,-0.28,10.18,12:57:31,34.052208N,-113.279297W,24644.90,15.31,15
8761922,14.44,22650.71,358,-11.31,-0.47,-0.14,10.15,12:57:32,34.052155N,-113.279259W,24648.70,15.38,15
8762923,14.41,22817.61,371,-11.27,-0.12,-0.41,10.11,12:57:33,34.052101N,-113.279221W,24652.70,14.95,15
8763924,14.41,23020.18,385,-11.27,-0.43,-0.19,10.01,12:57:34,34.052048N,-113.279190W,24656.80,14.54,15
8764925,14.42,23054.12,362,-11.26,-0.27,-0.14,9.85,12:57:35,34.051998N,-113.279152W,24661.00,14.57,15
8765926,14.45,22903.16,337,-11.24,-0.33,0.12,9.78,12:57:36,34.051941N,-113.279129W,24665.10,14.79,15
8766927,14.46,22783.43,328,-11.24,-0.28,0.18,9.88,12:57:37,34.051884N,-113.279106W,24669.00,14.84,15
8767928,14.48,22698.09,367,-11.29,-0.35,-0.10,10.05,12:57:38,34.051823N,-113.279091W,24672.60,15.08,15
8768929,14.51,22436.91,385,-11.23,-0.05,0.02,10.08,12:57:39,34.051762N,-113.279091W,24675.90,15.60,15
8769930,15.03,22201.15,387,-11.22,-0.34,0.02,10.08,12:57:40,34.051701N,-113.279076W,24679.30,16.07,15
8770931,14.98,22273.68,392,-11.23,-0.32,-0.29,10.15,12:57:41,34.051636N,-113.279076W,24682.60,15.81,15
8771932,14.92,22541.84,369,-11.24,-0.43,-0.39,10.27,12:57:42,34.051575N,-113.279076W,24685.90,15.39,15
8772933,14.88,22595.12,392,-11.25,-0.29,0.02,10.30,12:57:43,34.051510N,-113.279076W,24689.30,15.40,15
8773934,14.86,22564.12,311,-11.21,-0.52,-0.04,10.30,12:57:44,34.051449N,-113.279068W,24692.90,15.80,15
8774935,14.83,22541.84,297,-11.20,-0.19,0.13,10.29,12:57:45,34.051384N,-113.279053W,24696.70,16.00,15
8775936,14.85,22516.26,317,-11.25,-0.21,-0.32,10.27,12:57:46,34.051323N,-113.279053W,24700.70,16.29,15
8776937,14.87,22495.88,352,-11.23,-0.06,-0.28,10.19,12:57:47,34.051254N,-113.279037W,24704.90,16.60,15
8777938,14.87,22360.43,11,-11.22,-0.06,-0.11,10.15,12:57:48,34.051186N,-113.279037W,24709.30,16.62,15
8778939,15.27,22541.84,364,-11.17,-0.59,-0.45,10.13,12:57:49,34.051125N,-113.279030W,24713.80,16.31,15
8779940,15.17,22545.26,367,-11.25,-0.31,-0.34,10.19,12:57:50,34.051056N,-113.279015W,24718.40,15.98,15
8780941,15.08,22524.77,372,-11.18,-0.49,-0.35,10.15,12:57:51,34.050991N,-113.278992W,24723.10,16.07,15
8781942,15.01,22360.43,382,-11.20,-0.55,-0.56,10.14,12:57:52,34.050930N,-113.278961W,24727.90,16.41,15
8782943,15.39,22183.57,376,-11.16,-0.53,-0.41,10.23,12:57:53,34.050869N,-113.278954W,24732.80,16.65,15
8783944,15.74,22062.17,389,-11.17,-0.30,-0.17,10.20,12:57:54,34.050804N,-113.278938W,24737.70,16.74,15
8784945,16.01,22102.85,369,-11.17,-0.22,-0.21,10.10,12:57:55,34.050732N,-113.278923W,24742.80,17.10,15
